MD (m RKB),Inc. (°),Azimuth (°)
1305.4,0.5203785013673488,1.9373906944753045
1315.5,0.5097504228514413,1.947113406033456
1325.6,0.4991641660703783,1.957212223186441
1335.675,0.48555246401264185,1.9683230879518878
1345.75,0.47199441226570693,1.9800211721921062
1355.825,0.4584947962751522,1.992356213391746
1365.9,0.44505895925855404,2.0053833105414847
1375.6750000000002,0.46360238314284286,2.0042202652359897
1385.45,0.48214630935605096,2.0031404216611217
1395.225,0.5006906818236105,2.002134493969014
1405.0,0.519235452468313,2.001194520336698
1405.325,0.5198463164729754,2.0011507474315255
1405.65,0.5204571813019399,2.001107067862397
1405.975,0.5210680469522855,2.0010634812987336
1406.3,0.5216789134211051,2.001019987411499
1416.375,0.5269489902663882,1.9971208073566211
1426.4499999999998,0.5322255570946774,1.9932916725986434
1436.5249999999999,0.5375084212596641,1.9895305863523096
