Bit Depth (MD) m,SWOB kips,DWOB kips,HKLD-96%,HKLD-97%,HKLD-98%,HKLD-99%
2043.7253746239637,3.1876511691702105,4.812020111419551,117.94243569780382,126.97111746625328,136.86928143785147,147.72623598278992
2043.9750221119637,3.2210546531033923,4.749066181147174,117.92063960266721,126.9475567869266,136.8437862409393,147.69861888028473
2044.2246695999636,3.2244142980738366,4.756334990576037,117.92505534263297,126.95179703919646,136.84783410565657,147.70245572173337
2044.4743170879635,3.192304354782715,4.783141659951797,117.95367120291887,126.98208705278375,136.87995949724433,147.73659427612395
2044.7239645759635,3.14102331265458,4.759576346204717,117.99264764966934,127.02371973446239,136.92450421520246,147.7843331062034
2044.9736120639634,3.0881650598586723,4.6713018161958635,118.02612306923281,127.05995480820864,136.96376470398783,147.8269120683596
2045.2232595519633,3.062677962683254,4.577407226200338,118.04001207589063,127.07525041820398,136.9806023763612,147.8454411757497
2045.4729070399633,3.064209421545363,4.528754940459644,118.03800543150766,127.0732443685526,136.97859697871533,147.8434364932662
2045.7225545279632,3.065475703975062,4.523409983006073,118.0383270225772,127.07356535228848,136.97891729663002,147.8437560808646
2045.9722020159631,3.0636743593108773,4.564864604276166,118.04021021224646,127.07551108061034,136.9809315862163,147.84584557293624
2046.221849503963,3.0717703743841693,4.65739806719143,118.03514152861128,127.07000232710864,136.97494038313783,147.83932518756296
2046.471496991963,3.080244272431779,4.795729800762832,118.02880866093304,127.06326683293666,136.96776348864225,147.831664136282
2046.721144479963,3.2130924642494745,4.956869502051427,117.9315957024552,126.95890544630461,136.85556526427197,147.71086995499041
2046.970791967963,3.823728872935412,5.417043973693442,117.47713898485897,126.47129364491538,136.33160547052995,147.14704130254836
2047.2204394559628,4.585705667364135,6.385846071975817,116.91071197556089,125.86346082943263,135.67837937732364,146.4440248892075
2047.4700869439628,4.994049710596229,7.58034594251089,116.60976609998208,125.54025603402103,135.3307720784253,146.06965132619203
2047.7197344319627,4.757622157262339,8.244373395011314,116.79102289262843,125.73436897910413,135.53897925211533,146.2933179729489
2047.9693819199626,4.187719514143923,7.897694913920278,117.21969908529876,126.19406865370948,136.0326900391995,146.82433437582873
2048.219029407963,3.658053671745402,6.847394357377526,117.61459578052833,126.6178040186141,136.48804130202663,147.31436402624638
2048.4686768959627,3.5962883866426614,5.933110171781959,117.65808948131819,126.66467175800942,136.53860800747483,147.36898799993287
2048.7183243839627,3.647099959991618,5.481581594789948,117.61610557215704,126.61986061362636,136.49069735880852,147.31767761196022
2048.9679718719626,3.6490003463718095,5.433547250465251,117.61217767174494,126.61565380049804,136.48618477304703,147.31282963474746
2049.2176193599626,3.6255066257172586,5.4945577355353725,117.62829975761343,126.63285733434209,136.50457390072003,147.33251919938496
2049.4672668479625,3.609673015966924,5.514702320136031,117.63953598080703,126.64483528665798,136.51736501232807,147.3462022373641
2049.7169143359624,3.5818358423505625,5.502661653258529,117.66034827659615,126.66708963914635,136.54120029479392,147.37177158737566
2049.9665618239624,3.589829015269261,5.44606675755407,117.65409255611401,126.66046183731102,136.53416457934077,147.36428844554928
2050.2162093119623,3.633250061075109,5.362672778968646,117.62218310133981,126.62637523316263,136.4976911614748,147.32519701406855
2050.4658567999622,3.6827491994506834,5.273514004589137,117.58398075238544,126.5856855674716,136.45427464489455,147.27878950883226
2050.715504287962,3.6972090115694383,5.246045698810522,117.57175957154547,126.57279194075608,136.440643814265,147.26435006466508
2050.965151775962,3.6897970905295323,5.282660291346575,117.57493227846507,126.57645639188976,136.444847365678,147.26914493657384
2051.214799263962,3.6527847768563557,5.365499757791437,117.5996819721102,126.60320432380236,136.47378597066253,147.3004864152665
2051.464446751962,3.5652529890538007,5.443908905025898,117.66249393310532,126.6707588335695,136.54653974723215,147.37894308820185
2051.714094239962,3.465685818140191,5.453181643967841,117.73416248132455,126.74779071059609,136.62945145359936,147.46830417650153
2051.963741727962,3.3711837434007457,5.387428409210129,117.80151131842081,126.820159489617,136.70732360615497,147.55221278960494
2052.213389215962,3.309638673111683,5.273824969177191,117.84334174226233,126.86520981942247,136.75590392605443,147.60466503384356
2052.4630367039617,3.2440921430835736,5.164825233385804,117.88838594851804,126.9137185839275,136.80821089349996,147.66113811904538
2052.7126841919617,3.2467283044139235,5.148734583858785,117.88461293458992,126.90985307316456,136.80424397825053,147.65705997671347
2052.9623316799616,3.4304521617786667,5.360493554556678,117.75050861511305,126.76597050494075,136.64964149410383,147.49069918665924
2053.2119791679615,4.161975690034932,5.948860941500804,117.21056130421421,126.18656526260732,136.02697843348233,146.8205881176785
2053.4616266559615,5.096378912797705,6.632202510923911,116.51836786203775,125.44384207259976,135.228859368163,145.96170722804874
2053.7112741439614,5.634052820642887,6.994656588979888,116.11821071933787,125.0145429237904,134.76761177302106,145.46541648443917
2053.9609216319614,5.484245477264483,6.860803284113286,116.22523013034407,125.12953642815958,134.8913472937394,145.59874082126592
2054.2105691199613,4.750489122043164,6.339650249704241,116.76719735186948,125.71113801532319,135.51640012440214,146.27145382172836
2054.4602166079612,4.0471506117157015,5.798049082037728,117.28821941782597,126.27015549435666,136.11707205958442,146.91781509266
2054.709864095961,3.9283156203844567,5.5650316820868175,117.37273628278751,126.36102066399464,136.21489688980637,147.02327373444788
2054.959511583961,4.001703831221995,5.514054838915425,117.31464603731374,126.29892069510763,136.14840105219304,146.95195622009902
2055.209159071961,4.039223085459319,5.513913108725823,117.28459758706173,126.26687756407277,136.11417114816456,146.91532772022387
2055.458806559961,4.0106336510110525,5.514496999203973,117.30624589540285,126.29011810617678,136.13915725969613,146.94222848663333
2055.708454047961,3.904666493978877,5.515201497064863,117.38674897944634,126.37646189874464,136.2319042340537,147.04199889016755
2055.958101535961,3.891586962371896,5.5155638150870665,117.39655819265565,126.38712552662442,136.24350455864345,147.05462664505973
2056.207749023961,4.0705265870547445,5.515432689191146,117.26065702231163,126.2415643991851,136.08735319868282,146.88685922444046
2056.4573965119607,4.238409932888121,5.514842501398363,117.13300992390833,126.10485180198476,135.94070207492035,146.72930687380008
2056.7070439999607,4.325279635327605,5.513880003152597,117.06722191375798,126.03435709218097,135.8650473997828,146.64799241072183
2056.9566914879606,4.294003923732923,5.513000114093015,117.09241903776652,126.06126790362251,135.8938369305816,146.67884264396213
2057.2063389759605,4.153874483267025,5.513287943293026,117.20060165341083,126.17710857369293,136.01807314280936,146.8122876367116
2057.4559864639605,4.009204365677239,5.53036259338894,117.31062956240636,126.29495141423705,136.14448351025032,146.94809542880117
2057.7056339519604,4.044826521138715,5.580372866448184,117.28233991119195,126.26466613011254,136.11201040931294,146.91322258708774
2057.9552814399603,4.201303042661811,5.8266043012642,117.16342288021164,126.13713694968646,135.9750397102302,146.76589581195046
2058.2049289279603,4.879434658614402,6.606417200463491,116.6545134765635,125.59130977739603,135.3887395057897,146.1352021349821
2058.45457641596,6.8265079505795825,9.145969811008037,115.20164071261348,124.03273292236324,133.71427901980852,144.33363289253663
2058.70422390396,8.802035491635554,12.034304876124299,113.73207398146822,122.45610331550222,132.02027614337354,142.5108873264259
2058.95387139196,8.677785915861072,12.02358749308966,113.82712271466221,122.55793341849808,132.12954067721674,142.62830643095612
2059.20351887996,6.407932569123456,9.001648853101644,115.52235796050905,124.37632801404938,134.0829551426975,144.72981953318342
2059.45316636796,4.595859222620886,6.459355941457776,116.86791315170674,125.8200839684483,135.6343688129436,146.39931923743728
2059.70281385596,4.192144065039005,5.731503419847058,117.16359496393345,126.1376433649989,135.97591265401158,146.76717078816316
2059.95246134396,4.179170001654345,5.563550393218539,117.17003351627639,126.14471742689202,135.98368342644275,146.77570575834488
2060.20210883196,4.191468235590386,5.522493659367274,117.16098586145085,126.13489871558059,135.97301940418512,146.7641145436761
2060.4517563199597,4.240675868569356,5.5134185546903485,117.12627957519307,126.09746616307775,135.93259803991378,146.72041485489862
2060.7014038079597,4.316933773653188,5.536626194089023,117.07292649579733,126.04006637941622,135.87076184533487,146.65371251425353
